ID,adj.P.val,P.Value,t,B,logFC,Gene.Symbol,Gene.Function,,,
TC03001870.hg.1,1,0.629174,-4.85E-01,-5.5128,PLSCR5,phospholipid scramblase family, member 5,,,
TC03000127.hg.1,1,0.629267,-4.85E-01,-5.5128,NR1D2,nuclear receptor subfamily 1, group D, member 2,,
TC01001004.hg.1,1,0.629317,4.85E-01,-5.5128,OLFML3,olfactomedin-like 3,,,,
TC04001657.hg.1,1,0.629348,4.85E-01,-5.5129,SFRP2,secreted frizzled-related protein 2,,,,
TC01000110.hg.1,1,0.629389,4.85E-01,-5.5129,CA6,carbonic anhydrase VI,,,,
TC12001836.hg.1,1,0.62949,4.85E-01,-5.5129,USP44,ubiquitin specific peptidase 44,,,,
TC19000922.hg.1,1,0.629517,4.85E-01,-5.513,LOC386758,uncharacterized LOC386758,,,,
TC02005007.hg.1,1,0.629532,4.85E-01,-5.513,C2orf47,chromosome 2 open reading frame 47,,,,
TC01006305.hg.1,1,0.629543,4.85E-01,-5.513,YY1AP1,YY1 associated protein 1,,,,
TC09001706.hg.1,1,0.629652,4.84E-01,-5.513,MIR3689D1,microRNA 3689d-1,,,,
TC03003321.hg.1,1,0.629674,4.84E-01,-5.5131,C3orf30,chromosome 3 open reading frame 30,,,,
TC01003212.hg.1,1,0.629725,-4.84E-01,-5.5131,ARNT,aryl hydrocarbon receptor nuclear translocator,,,,
TC11001277.hg.1,1,0.62977,-4.84E-01,-5.5131,ASCL2,achaete-scute complex homolog 2 (Drosophila),,,,
TC20000578.hg.1,1,0.629805,-4.84E-01,-5.5131,CENPB,centromere protein B, 80kDa,,,
TC10001693.hg.1,1,0.629818,4.84E-01,-5.5131,PRLHR,prolactin releasing hormone receptor,,,,
TC13000111.hg.1,1,0.629858,4.84E-01,-5.5132,BRCA2,breast cancer 2, early onset,,,
TC12001800.hg.1,1,0.629961,4.84E-01,-5.5132,C12orf12,chromosome 12 open reading frame 12,,,,
TC21000096.hg.1,1,0.630173,-4.84E-01,-5.5134,LINC00189,long intergenic non-protein coding RNA 189,,,,
TC09001400.hg.1,1,0.630178,-4.84E-01,-5.5134,C9orf156,chromosome 9 open reading frame 156,,,,
TC11000447.hg.1,1,0.630182,-4.84E-01,-5.5134,OR5J2,olfactory receptor, family 5, subfamily J, member 2,
TC6_dbb_hap3000054.hg.1,1,0.630332,-4.83E-01,-5.5135,MCCD1,mitochondrial coiled-coil domain 1,,,,
TC6_mann_hap4000055.hg.1,1,0.630332,-4.83E-01,-5.5135,MCCD1,mitochondrial coiled-coil domain 1,,,,
TC6_qbl_hap6000054.hg.1,1,0.630332,-4.83E-01,-5.5135,MCCD1,mitochondrial coiled-coil domain 1,,,,
TC04001216.hg.1,1,0.630424,-4.83E-01,-5.5135,NMU,neuromedin U,,,,
TC06000009.hg.1,1,0.630452,4.83E-01,-5.5135,FOXQ1,forkhead box Q1,,,,
TC01003517.hg.1,1,0.630466,-4.83E-01,-5.5135,MYOC,myocilin, trabecular meshwork inducible glucocorticoid response,,,
TC04000503.hg.1,1,0.630509,4.83E-01,-5.5136,BMPR1B,bone morphogenetic protein receptor, type IB,,,
TC18000278.hg.1,1,0.630511,4.83E-01,-5.5136,YES1,v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1,,,,
TC01000755.hg.1,1,0.630525,-4.83E-01,-5.5136,SRSF11,serine/arginine-rich splicing factor 11,,,,
TC02001790.hg.1,1,0.630551,-4.83E-01,-5.5136,ZFP36L2,zinc finger protein 36, C3H type-like 2,,,
TC03000481.hg.1,1,0.63069,-4.83E-01,-5.5137,CRYBG3,beta-gamma crystallin domain containing 3,,,,
TC0X000562.hg.1,1,0.630697,-4.83E-01,-5.5137,MIR1911,microRNA 1911,,,,
TC0X001401.hg.1,1,0.630706,4.83E-01,-5.5137,LINC00087,long intergenic non-protein coding RNA 87,,,,
TC16000090.hg.1,1,0.630711,4.83E-01,-5.5137,KREMEN2,kringle containing transmembrane protein 2,,,,
TC22000033.hg.1,1,0.63078,4.83E-01,-5.5137,DGCR6,DiGeorge syndrome critical region gene 6,,,,
TC08001142.hg.1,1,0.630789,-4.83E-01,-5.5137,LSM1,LSM1 homolog, U6 small nuclear RNA associated (S. cerevisiae),,,
TC07000545.hg.1,1,0.630793,4.83E-01,-5.5137,AKAP9,A kinase (PRKA) anchor protein (yotiao) 9,,,,
TC19000058.hg.1,1,0.630799,4.83E-01,-5.5137,ZNF554,zinc finger protein 554,,,,
TC17000141.hg.1,1,0.630834,4.83E-01,-5.5138,NDEL1,nudE nuclear distribution gene E homolog (A. nidulans)-like 1,,,,
TC01000557.hg.1,1,0.630896,-4.83E-01,-5.5138,CCDC24,coiled-coil domain containing 24,,,,
TC06001660.hg.1,1,0.6309,4.83E-01,-5.5138,TAF11,TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa,,
TC17000900.hg.1,1,0.630923,-4.83E-01,-5.5138,TMEM235,transmembrane protein 235,,,,
TC05002135.hg.1,1,0.630984,-4.82E-01,-5.5138,HNRNPH1,heterogeneous nuclear ribonucleoprotein H1 (H),,,,
TC15001715.hg.1,1,0.630989,-4.82E-01,-5.5139,LOC729911,uncharacterized LOC729911,,,,
TC14000044.hg.1,1,0.63099,4.82E-01,-5.5139,OR4K17,olfactory receptor, family 4, subfamily K, member 17,
TC06000614.hg.1,1,0.631035,-4.82E-01,-5.5139,SLC29A1,solute carrier family 29 (nucleoside transporters), member 1,,,
TC07000037.hg.1,1,0.631062,-4.82E-01,-5.5139,AMZ1,archaelysin family metallopeptidase 1,,,,
TC17001769.hg.1,1,0.631149,4.82E-01,-5.5139,BRIP1,BRCA1 interacting protein C-terminal helicase 1,,,,
TC11000226.hg.1,1,0.63118,-4.82E-01,-5.514,OR7E14P,olfactory receptor, family 7, subfamily E, member 14 pseudogene,
TC01004062.hg.1,1,0.631187,4.82E-01,-5.514,AHCTF1,AT hook containing transcription factor 1,,,,
TC03001937.hg.1,1,0.631212,4.82E-01,-5.514,PA2G4P4,proliferation-associated 2G4 pseudogene 4,,,,
TC6_dbb_hap3000090.hg.1,1,0.631267,-4.82E-01,-5.514,BRD2,bromodomain containing 2,,,,
TC08000590.hg.1,1,0.631305,4.82E-01,-5.514,SDC2,syndecan 2,,,,
TC0X001391.hg.1,1,0.631322,4.82E-01,-5.5141,MIR542,microRNA 542,,,,
TC20000786.hg.1,1,0.631346,-4.82E-01,-5.5141,NCOA6,nuclear receptor coactivator 6,,,,
TC16002088.hg.1,1,0.631379,4.82E-01,-5.5141,ZNF23,zinc finger protein 23 (KOX 16),,,,
TC20000352.hg.1,1,0.631411,-4.82E-01,-5.5141,WFDC13,WAP four-disulfide core domain 13,,,,
TC06000157.hg.1,1,0.631427,4.82E-01,-5.5141,SCGN,secretagogin, EF-hand calcium binding protein,,,
TC02005024.hg.1,1,0.631468,-4.82E-01,-5.5141,DPY30,dpy-30 homolog (C. elegans),,,,
TC11002233.hg.1,1,0.631489,-4.82E-01,-5.5142,MMP10,matrix metallopeptidase 10 (stromelysin 2),,,,
TC02001447.hg.1,1,0.631541,-4.82E-01,-5.5142,RAMP1,receptor (G protein-coupled) activity modifying protein 1,,,,
TC08000612.hg.1,1,0.631563,4.82E-01,-5.5142,POLR2K,polymerase (RNA) II (DNA directed) polypeptide K, 7.0kDa,,,
TC05000828.hg.1,1,0.631576,-4.82E-01,-5.5142,CDX1,caudal type homeobox 1,,,,
TC07001655.hg.1,1,0.631596,-4.82E-01,-5.5142,MIR25,microRNA 25,,,,
TC17000137.hg.1,1,0.631602,-4.82E-01,-5.5142,RANGRF,RAN guanine nucleotide release factor,,,,
TC17000447.hg.1,1,0.631676,4.82E-01,-5.5143,TADA2A,transcriptional adaptor 2A,,,,
TC16000349.hg.1,1,0.6317,-4.81E-01,-5.5143,ITGAL,integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide),,
TC03001172.hg.1,1,0.631785,4.81E-01,-5.5143,LOC100129480,uncharacterized LOC100129480,,,,
TC11002158.hg.1,1,0.631816,-4.81E-01,-5.5143,CCDC90B,coiled-coil domain containing 90B,,,,
TC0X001506.hg.1,1,0.631877,4.81E-01,-5.5144,CETN2,centrin, EF-hand protein,2,,
TC0X001063.hg.1,1,0.631887,-4.81E-01,-5.5144,IQSEC2,IQ motif and Sec7 domain 2,,,,
TC09001496.hg.1,1,0.631909,4.81E-01,-5.5144,ZFP37,zinc finger protein 37 homolog (mouse),,,,
TC01003896.hg.1,1,0.631958,4.81E-01,-5.5144,C1orf55,chromosome 1 open reading frame 55,,,,
TC19000880.hg.1,1,0.631965,4.81E-01,-5.5144,KIR3DX1,killer cell immunoglobulin-like receptor, three domains, X1,,
TC15000822.hg.1,1,0.632001,-4.81E-01,-5.5145,ALPK3,alpha-kinase 3,,,,
TC05001873.hg.1,1,0.632018,-4.81E-01,-5.5145,FCHSD1,FCH and double SH3 domains 1,,,,
TC13000893.hg.1,1,0.632047,-4.81E-01,-5.5145,GRTP1,growth hormone regulated TBC protein 1,,,,
TC12000203.hg.1,1,0.632077,-4.81E-01,-5.5145,PTPRO,protein tyrosine phosphatase, receptor type, O,,
TC03001750.hg.1,1,0.632091,-4.81E-01,-5.5145,MGLL,monoglyceride lipase,,,,
TC16001027.hg.1,1,0.632118,-4.81E-01,-5.5145,CD2BP2,CD2 (cytoplasmic tail) binding protein 2,,,,
TC02005011.hg.1,1,0.632218,4.81E-01,-5.5146,GIGYF2,GRB10 interacting GYF protein 2,,,,
TC20000972.hg.1,1,0.632285,-4.81E-01,-5.5146,BMP7,bone morphogenetic protein 7,,,,
TC04001309.hg.1,1,0.6323,4.81E-01,-5.5146,CCDC158,coiled-coil domain containing 158,,,,
TC03001442.hg.1,1,0.632322,-4.81E-01,-5.5147,RRP9,ribosomal RNA processing 9, small subunit (SSU) processome component, homolog (yeast),,
TC14000793.hg.1,1,0.632338,-4.81E-01,-5.5147,EXOC3L4,exocyst complex component 3-like 4,,,,
TC19001660.hg.1,1,0.632342,4.81E-01,-5.5147,ZC3H4,zinc finger CCCH-type containing 4,,,,
TC12001163.hg.1,1,0.632353,-4.81E-01,-5.5147,APOBEC1,apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1,,,
TC03001929.hg.1,1,0.632364,-4.81E-01,-5.5147,SLC33A1,solute carrier family 33 (acetyl-CoA transporter), member 1,,,
TC20001737.hg.1,1,0.632384,-4.81E-01,-5.5147,LIME1,Lck interacting transmembrane adaptor 1,,,,
TC13000827.hg.1,1,0.632496,-4.80E-01,-5.5148,MIR548AN,microRNA 548an,,,,
TC09001658.hg.1,1,0.632496,4.80E-01,-5.5148,LOC100272217,uncharacterized LOC100272217,,,,
TC01001376.hg.1,1,0.632524,4.80E-01,-5.5148,KLHDC9,kelch domain containing 9,,,,
TC07001355.hg.1,1,0.632529,4.80E-01,-5.5148,IGFBP3,insulin-like growth factor binding protein 3,,,,
TC05001614.hg.1,1,0.632607,4.80E-01,-5.5148,PCSK1,proprotein convertase subtilisin/kexin type 1,,,,
TC12001116.hg.1,1,0.63263,-4.80E-01,-5.5148,PARP11,poly (ADP-ribose) polymerase family, member 11,,,
TC02001645.hg.1,1,0.632632,-4.80E-01,-5.5148,TP53I3,tumor protein p53 inducible protein 3,,,,
TC11001946.hg.1,1,0.632749,-4.80E-01,-5.5149,EFEMP2,EGF containing fibulin-like extracellular matrix protein 2,,,,
TC19001796.hg.1,1,0.632885,4.80E-01,-5.515,ZNF616,zinc finger protein 616,,,,
TC07001020.hg.1,1,0.632893,-4.80E-01,-5.515,LOC100505483,uncharacterized LOC100505483,,,,
TC11001287.hg.1,1,0.632909,4.80E-01,-5.515,NAP1L4,nucleosome assembly protein 1-like 4,,,,
TC11001380.hg.1,1,0.632933,4.80E-01,-5.515,OR10A3,olfactory receptor, family 10, subfamily A, member 3,
TC02002507.hg.1,1,0.633004,-4.80E-01,-5.5151,SPC25,SPC25, NDC80 kinetochore complex component, homolog (S. cerevisiae),,
TC01003771.hg.1,1,0.63302,-4.80E-01,-5.5151,C1orf116,chromosome 1 open reading frame 116,,,,
TC19000356.hg.1,1,0.633077,4.80E-01,-5.5151,GDF15,growth differentiation factor 15,,,,
TC10001549.hg.1,1,0.633103,4.80E-01,-5.5151,PDLIM1,PDZ and LIM domain 1,,,,
TC09001168.hg.1,1,0.633104,4.80E-01,-5.5151,LOC440896,uncharacterized LOC440896,,,,
TC03000465.hg.1,1,0.63317,4.79E-01,-5.5152,ZNF654,zinc finger protein 654,,,,
TC16000933.hg.1,1,0.633176,-4.79E-01,-5.5152,ZP2,zona pellucida glycoprotein 2 (sperm receptor),,,,
TC0X000579.hg.1,1,0.633182,-4.79E-01,-5.5152,LONRF3,LON peptidase N-terminal domain and ring finger 3,,,,
TC6_qbl_hap6000009.hg.1,1,0.633198,-4.79E-01,-5.5152,OR2H1,olfactory receptor, family 2, subfamily H, member 1,
TC04001334.hg.1,1,0.63321,-4.79E-01,-5.5152,HNRPDL,heterogeneous nuclear ribonucleoprotein D-like,,,,
TC02000963.hg.1,1,0.633238,-4.79E-01,-5.5152,DAPL1,death associated protein-like 1,,,,
TC14000742.hg.1,1,0.633286,4.79E-01,-5.5152,MIR381,microRNA 381,,,,
TC15001695.hg.1,1,0.633302,4.79E-01,-5.5152,LOC645752,golgi autoantigen, golgin subfamily a, 6 pseudogene,,
TC08000165.hg.1,1,0.633366,-4.79E-01,-5.5153,FAM160B2,family with sequence similarity 160, member B2,,,
TC0X001373.hg.1,1,0.63338,-4.79E-01,-5.5153,USP26,ubiquitin specific peptidase 26,,,,
TC22000372.hg.1,1,0.6334,-4.79E-01,-5.5153,PARVG,parvin, gamma,,,
TC21000555.hg.1,1,0.633432,-4.79E-01,-5.5153,MCM3AP,minichromosome maintenance complex component 3 associated protein,,,,
TC11001215.hg.1,1,0.633438,4.79E-01,-5.5153,ACAD8,acyl-CoA dehydrogenase family, member 8,,,
TC10001585.hg.1,1,0.633444,4.79E-01,-5.5153,DNMBP,dynamin binding protein,,,,
TC16001046.hg.1,1,0.633467,4.79E-01,-5.5153,FBXL19-AS1,FBXL19 antisense RNA 1 (non-protein coding),,,,
TC20001035.hg.1,1,0.633496,-4.79E-01,-5.5154,PRIC285,peroxisomal proliferator-activated receptor A interacting complex 285,,,,
TC03000048.hg.1,1,0.633519,4.79E-01,-5.5154,CRELD1,cysteine-rich with EGF-like domains 1,,,,
TC17000837.hg.1,1,0.63355,4.79E-01,-5.5154,OTOP3,otopetrin 3,,,,
TC01000443.hg.1,1,0.633553,-4.79E-01,-5.5154,ZSCAN20,zinc finger and SCAN domain containing 20,,,,
TC08002605.hg.1,1,0.633577,-4.79E-01,-5.5154,C8orf46,chromosome 8 open reading frame 46,,,,
TC12000208.hg.1,1,0.633628,4.79E-01,-5.5154,MGST1,microsomal glutathione S-transferase 1,,,,
TC0X000713.hg.1,1,0.633645,-4.79E-01,-5.5154,MAGEA11,melanoma antigen family A,11,,,
TC12000968.hg.1,1,0.63367,-4.79E-01,-5.5155,LOC100506691,uncharacterized LOC100506691,,,,
TC19001651.hg.1,1,0.633694,-4.79E-01,-5.5155,GNG8,guanine nucleotide binding protein (G protein), gamma 8,,,
TC22000302.hg.1,1,0.633718,4.79E-01,-5.5155,CBY1,chibby homolog 1 (Drosophila),,,,
TC04000259.hg.1,1,0.633754,4.79E-01,-5.5155,SLC30A9,solute carrier family 30 (zinc transporter), member 9,,,
TC01002669.hg.1,1,0.633754,4.79E-01,-5.5155,LRP8,low density lipoprotein receptor-related protein 8, apolipoprotein e receptor,,,
TC11003456.hg.1,1,0.633813,-4.78E-01,-5.5155,PPP1R32,protein phosphatase 1, regulatory subunit 32,,,
TC17000583.hg.1,1,0.633872,-4.78E-01,-5.5156,LOC100133991,uncharacterized LOC100133991,,,,
TC14000738.hg.1,1,0.633979,4.78E-01,-5.5156,MIR300,microRNA 300,,,,
TC02001316.hg.1,1,0.634003,4.78E-01,-5.5157,LOC151300,uncharacterized LOC151300,,,,
TC01001972.hg.1,1,0.634029,4.78E-01,-5.5157,MIR3123,microRNA 3123,,,,
TC19000384.hg.1,1,0.634168,4.78E-01,-5.5158,ZNF486,zinc finger protein 486,,,,
TC07000871.hg.1,1,0.634267,4.78E-01,-5.5158,UBN2,ubinuclein 2,,,,
TC03003332.hg.1,1,0.634283,4.78E-01,-5.5158,WDR49,WD repeat domain 49,,,,
TC21001057.hg.1,1,0.63435,4.78E-01,-5.5159,CRYZL1,crystallin, zeta (quinone reductase)-like 1,,,
TC01000973.hg.1,1,0.634357,-4.78E-01,-5.5159,RP11-165H20.1,CHIA-like pseudogene,,,,
TC13000584.hg.1,1,0.634377,-4.78E-01,-5.5159,PROSER1,proline and serine rich 1,,,,
TC12003215.hg.1,1,0.634464,-4.78E-01,-5.5159,PAN2,PAN2 poly(A) specific ribonuclease subunit homolog (S. cerevisiae),,,,
TC06000525.hg.1,1,0.634524,4.77E-01,-5.516,BRPF3,bromodomain and PHD finger containing,3,,,
TC01001588.hg.1,1,0.634546,4.77E-01,-5.516,TSEN15,tRNA splicing endonuclease 15 homolog (S. cerevisiae),,,,
TC05001605.hg.1,1,0.634551,4.77E-01,-5.516,TTC37,tetratricopeptide repeat domain 37,,,,
TC0X000370.hg.1,1,0.634704,-4.77E-01,-5.5161,IGBP1,immunoglobulin (CD79A) binding protein 1,,,,
TC07001261.hg.1,1,0.634737,-4.77E-01,-5.5161,KBTBD2,kelch repeat and BTB (POZ) domain containing 2,,,,
TC09001327.hg.1,1,0.634746,-4.77E-01,-5.5161,MIR3910-2,microRNA 3910-2,,,,
TC12001298.hg.1,1,0.634773,-4.77E-01,-5.5161,LDHB,lactate dehydrogenase B,,,,
TC03000908.hg.1,1,0.63485,4.77E-01,-5.5162,SAMD7,sterile alpha motif domain containing 7,,,,
TC10000703.hg.1,1,0.634865,-4.77E-01,-5.5162,ZFYVE27,zinc finger, FYVE domain containing 27,,,
TC19001480.hg.1,1,0.634904,4.77E-01,-5.5162,ZNF585B,zinc finger protein 585B,,,,
TC09000779.hg.1,1,0.634917,-4.77E-01,-5.5162,LINC00094,long intergenic non-protein coding RNA 94,,,,
TC01001185.hg.1,1,0.634921,4.77E-01,-5.5162,PRPF3,PRP3 pre-mRNA processing factor 3 homolog (S. cerevisiae),,,,
TC08001635.hg.1,1,0.634928,4.77E-01,-5.5162,LOC728724,hCG1814486,,,,
TC03002184.hg.1,1,0.634939,-4.77E-01,-5.5162,IQCG,IQ motif containing G,,,,
TC12000415.hg.1,1,0.634971,4.77E-01,-5.5162,C12orf44,chromosome 12 open reading frame 44,,,,
TC20000742.hg.1,1,0.634996,4.77E-01,-5.5162,MIR663,microRNA 663,,,,
TC20000330.hg.1,1,0.63508,-4.77E-01,-5.5163,HNF4A,hepatocyte nuclear factor 4, alpha,,,
TC03001341.hg.1,1,0.63511,4.77E-01,-5.5163,KIAA1143,KIAA1143,,,,
TC15000150.hg.1,1,0.63516,4.77E-01,-5.5163,WHAMMP2,WAS protein homolog associated with actin, golgi membranes and microtubules pseudogene 2,,,
TC6_qbl_hap6000007.hg.1,1,0.63516,4.77E-01,-5.5163,OR2J2,olfactory receptor, family 2, subfamily J, member 2,
TC04000947.hg.1,1,0.635184,4.77E-01,-5.5164,ZNF732,zinc finger protein 732,,,,
TC11002208.hg.1,1,0.635185,4.77E-01,-5.5164,FAM76B,family with sequence similarity 76, member B,,,
TC03000487.hg.1,1,0.635202,4.77E-01,-5.5164,OR5H6,olfactory receptor, family 5, subfamily H, member 6,
TC0X000026.hg.1,1,0.635206,4.77E-01,-5.5164,MIR4767,microRNA 4767,,,,
TC0X000254.hg.1,1,0.635284,-4.76E-01,-5.5164,TBC1D25,TBC1 domain family, member 25,,,
TC20000947.hg.1,1,0.635343,-4.76E-01,-5.5164,ZFP64,zinc finger protein 64 homolog (mouse),,,,
TC03000917.hg.1,1,0.635374,4.76E-01,-5.5165,SKIL,SKI-like oncogene,,,,
TC03002041.hg.1,1,0.635379,4.76E-01,-5.5165,PEX5L,peroxisomal biogenesis factor 5-like,,,,
TC19001919.hg.1,1,0.635392,-4.76E-01,-5.5165,SLC27A5,solute carrier family 27 (fatty acid transporter), member 5,,,
TC12001368.hg.1,1,0.635393,-4.76E-01,-5.5165,H3F3C,H3 histone, family 3C,,,
TC12002077.hg.1,1,0.635411,-4.76E-01,-5.5165,HCAR1,hydroxycarboxylic acid receptor 1,,,,
TC08001740.hg.1,1,0.635537,-4.76E-01,-5.5166,OPLAH,5-oxoprolinase (ATP-hydrolysing),,,,
TC01001964.hg.1,1,0.635584,4.76E-01,-5.5166,CHRM3,cholinergic receptor, muscarinic 3,,,
TC11001066.hg.1,1,0.635612,4.76E-01,-5.5166,ARCN1,archain 1,,,,
TC6_cox_hap2000039.hg.1,1,0.635669,4.76E-01,-5.5166,ABCF1,ATP-binding cassette, sub-family F (GCN20), member 1,,
TC6_dbb_hap3000032.hg.1,1,0.635669,4.76E-01,-5.5166,ABCF1,ATP-binding cassette, sub-family F (GCN20), member 1,,
TC6_mann_hap4000034.hg.1,1,0.635669,4.76E-01,-5.5166,ABCF1,ATP-binding cassette, sub-family F (GCN20), member 1,,
TC6_mcf_hap5000026.hg.1,1,0.635669,4.76E-01,-5.5166,ABCF1,ATP-binding cassette, sub-family F (GCN20), member 1,,
TC6_qbl_hap6000032.hg.1,1,0.635669,4.76E-01,-5.5166,ABCF1,ATP-binding cassette, sub-family F (GCN20), member 1,,
TC6_ssto_hap7000032.hg.1,1,0.635669,4.76E-01,-5.5166,ABCF1,ATP-binding cassette, sub-family F (GCN20), member 1,,
TC01003216.hg.1,1,0.635714,-4.76E-01,-5.5167,FAM63A,family with sequence similarity 63, member A,,,
TC6_apd_hap1000031.hg.1,1,0.63577,-4.76E-01,-5.5167,MUC21,mucin 21, cell surface associated,,,
TC6_dbb_hap3000044.hg.1,1,0.63577,-4.76E-01,-5.5167,MUC21,mucin 21, cell surface associated,,,
TC17001949.hg.1,1,0.63579,-4.76E-01,-5.5167,TMEM105,transmembrane protein 105,,,,
TC22000685.hg.1,1,0.635803,4.76E-01,-5.5167,SYN3,synapsin III,,,,
TC15001827.hg.1,1,0.635898,-4.76E-01,-5.5168,RLBP1,retinaldehyde binding protein 1,,,,
TC09000968.hg.1,1,0.635961,4.75E-01,-5.5168,ELAVL2,ELAV (embryonic lethal, abnormal vision, Drosophila)-like 2 (Hu antigen B),,
TC15000919.hg.1,1,0.635982,-4.75E-01,-5.5168,ASB9P1,ankyrin repeat and SOCS box containing 9 pseudogene 1,,,,
TC14000499.hg.1,1,0.636051,4.75E-01,-5.5169,TSHR,thyroid stimulating hormone receptor,,,,
TC03001431.hg.1,1,0.63611,-4.75E-01,-5.5169,NPRL2,nitrogen permease regulator-like 2 (S. cerevisiae),,,,
TC07000559.hg.1,1,0.636237,-4.75E-01,-5.517,COL1A2,collagen, type I, alpha 2,,
TC06001063.hg.1,1,0.636251,4.75E-01,-5.517,GRM1,glutamate receptor, metabotropic 1,,,
TC20001727.hg.1,1,0.636282,-4.75E-01,-5.517,VPS16,vacuolar protein sorting 16 homolog (S. cerevisiae),,,,
TC20000166.hg.1,1,0.636285,-4.75E-01,-5.517,ENTPD6,ectonucleoside triphosphate diphosphohydrolase 6 (putative),,,,
TC09001625.hg.1,1,0.636308,4.75E-01,-5.517,MIR199B,microRNA 199b,,,,
TC04000851.hg.1,1,0.63632,4.75E-01,-5.517,LOC100506122,uncharacterized LOC100506122,,,,
TC0X001454.hg.1,1,0.636343,4.75E-01,-5.517,MIR892B,microRNA 892b,,,,
TC08000832.hg.1,1,0.636358,-4.75E-01,-5.517,MAPK15,mitogen-activated protein kinase 15,,,,
TC06000947.hg.1,1,0.636432,4.75E-01,-5.5171,HSF2,heat shock transcription factor 2,,,,
TC05001411.hg.1,1,0.636438,-4.75E-01,-5.5171,SGTB,small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta,,,
TC19001906.hg.1,1,0.636457,-4.75E-01,-5.5171,ZNF417,zinc finger protein 417,,,,
TC0X002347.hg.1,1,0.636476,-4.75E-01,-5.5171,MAGEA10,melanoma antigen family A,10,,,
TC11003506.hg.1,1,0.636518,-4.75E-01,-5.5171,CARD16,caspase recruitment domain family, member 16,,,
TC17001112.hg.1,1,0.636531,-4.75E-01,-5.5171,SLC25A35,solute carrier family 25, member 35,,,
TC14000275.hg.1,1,0.63654,-4.75E-01,-5.5172,MGAT2,mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase,,
TC16000069.hg.1,1,0.636548,4.75E-01,-5.5172,MIR940,microRNA 940,,,,
TC17000315.hg.1,1,0.636603,-4.75E-01,-5.5172,NLK,nemo-like kinase,,,,
TC14000715.hg.1,1,0.63663,-4.75E-01,-5.5172,MIR379,microRNA 379,,,,
TC6_qbl_hap6000216.hg.1,1,0.636648,-4.74E-01,-5.5172,RPP21,ribonuclease P/MRP 21kDa subunit,,,,
TC01006365.hg.1,1,0.636664,4.74E-01,-5.5172,BCAS2,breast carcinoma amplified sequence 2,,,,
TC07003390.hg.1,1,0.636691,-4.74E-01,-5.5172,ZNRF2,zinc and ring finger 2,,,,
TC06000138.hg.1,1,0.636711,4.74E-01,-5.5173,HDGFL1,hepatoma derived growth factor-like 1,,,,
TC08000439.hg.1,1,0.636731,4.74E-01,-5.5173,TRIM55,tripartite motif containing 55,,,,
TC01000526.hg.1,1,0.636736,-4.74E-01,-5.5173,RIMKLA,ribosomal modification protein rimK-like family member A,,,,
TC07002034.hg.1,1,0.636767,-4.74E-01,-5.5173,ABCF2,ATP-binding cassette, sub-family F (GCN20), member 2,,
TC07000578.hg.1,1,0.636955,4.74E-01,-5.5174,ACN9,ACN9 homolog (S. cerevisiae),,,,
TC17000966.hg.1,1,0.63697,-4.74E-01,-5.5174,VPS53,vacuolar protein sorting 53 homolog (S. cerevisiae),,,,
TC03000553.hg.1,1,0.636989,4.74E-01,-5.5174,LINC00488,long intergenic non-protein coding RNA 488,,,,
TC16001317.hg.1,1,0.636993,4.74E-01,-5.5174,LOC727710,uncharacterized LOC727710,,,,
TC08001080.hg.1,1,0.636995,4.74E-01,-5.5174,CHRNA2,cholinergic receptor, nicotinic, alpha 2 (neuronal),,
TC21000184.hg.1,1,0.637005,4.74E-01,-5.5174,MIR3197,microRNA 3197,,,,
TC14000453.hg.1,1,0.637087,-4.74E-01,-5.5175,COQ6,coenzyme Q6 homolog, monooxygenase (S. cerevisiae),,,
TC0X000744.hg.1,1,0.637097,-4.74E-01,-5.5175,ZNF185,zinc finger protein 185 (LIM domain),,,,
TC0X001535.hg.1,1,0.637249,-4.74E-01,-5.5176,UBL4A,ubiquitin-like 4A,,,,
TC08000288.hg.1,1,0.637293,4.74E-01,-5.5176,DDHD2,DDHD domain containing 2,,,,
TC10000622.hg.1,1,0.637304,-4.74E-01,-5.5176,CFL1P1,cofilin 1 (non-muscle) pseudogene 1,,,,
TC05000191.hg.1,1,0.637315,4.74E-01,-5.5176,GHR,growth hormone receptor,,,,
TC17_ctg5_hap1000022.hg.1,1,0.637342,-4.74E-01,-5.5176,C17orf69,chromosome 17 open reading frame 69,,,,
TC01000821.hg.1,1,0.637342,4.74E-01,-5.5176,CLCA2,chloride channel accessory 2,,,,
TC0X001029.hg.1,1,0.637357,-4.73E-01,-5.5176,SYP,synaptophysin,,,,
TC01003670.hg.1,1,0.637399,4.73E-01,-5.5177,LOC100131234,familial acute myelogenous leukemia related factor,,,,
TC01002621.hg.1,1,0.63744,-4.73E-01,-5.5177,KNCN,kinocilin,,,,
TC03000996.hg.1,1,0.637458,-4.73E-01,-5.5177,VWA5B2,von Willebrand factor A domain containing 5B2,,,,
